date,pompadour hairstyle,ducktail haircut,pixie cut,beehive hairstyle,mop-top,bouffant hairstyle,crew cut,quiff haircut,afro hairstyle,shag haircut,feathered hair,cornrows,mullet haircut,jheri curl,perm hairstyle,hi-top fade,rattail haircut,mohawk hairstyle,dreadlocks,bowl cut,frosted tips,buzz cut,caesar cut,faux hawk,emo hair,undercut hairstyle,man bun,curtain bangs,wolf cut,french crop,edgar haircut,broccoli haircut
2004-01-01,0,0,5,0,0,0,9,0,0,0,0,38,0,0,0,0,0,64,84,6,0,3,0,24,6,0,0,0,0,0,0,0
2004-02-01,0,0,0,0,0,0,8,0,0,31,0,42,0,0,0,0,0,0,71,0,0,1,0,0,12,0,0,0,0,0,0,0
2004-03-01,0,0,0,0,0,0,11,0,0,30,0,35,0,0,100,0,0,0,83,0,0,0,0,0,10,0,0,0,0,0,0,0
2004-04-01,0,0,0,0,0,0,11,0,100,22,0,47,0,0,0,0,0,0,69,0,0,2,0,23,14,0,0,0,0,0,0,0
2004-05-01,0,0,5,0,0,0,13,0,0,24,0,39,6,0,0,0,0,0,74,0,0,2,0,19,12,0,0,0,0,0,0,0
2004-06-01,0,0,7,0,0,0,9,0,0,50,0,47,0,0,0,0,0,50,79,7,0,2,0,18,9,0,0,0,0,0,0,0
2004-07-01,0,0,0,0,0,0,11,0,0,33,0,39,5,0,0,0,0,0,71,0,0,2,0,32,15,0,0,0,0,0,0,0
2004-08-01,0,0,0,0,0,0,9,0,0,31,55,33,5,0,0,0,0,47,66,7,0,1,0,21,15,0,0,0,0,0,0,0
2004-09-01,0,0,7,0,0,0,7,0,0,27,0,29,7,0,0,0,0,33,67,0,0,1,0,16,13,0,2,0,0,0,0,0
2004-10-01,0,0,0,0,0,0,9,0,0,21,82,31,0,0,0,0,0,38,64,7,0,2,0,28,13,0,0,0,0,0,0,0
2004-11-01,0,0,0,0,0,0,9,0,0,27,58,30,0,0,0,0,0,0,61,5,0,0,0,23,15,0,0,0,0,0,0,0
2004-12-01,0,0,0,0,0,0,9,0,0,0,0,36,0,0,0,0,0,0,69,5,0,1,0,22,20,0,0,0,0,0,0,0
2005-01-01,0,0,4,0,0,0,9,0,0,23,64,36,0,0,0,0,0,30,62,6,0,1,0,27,20,0,0,0,0,0,0,0
2005-02-01,0,0,0,0,0,0,4,0,0,27,45,30,4,0,0,0,0,0,64,10,0,2,0,32,21,0,0,0,0,2,0,0
2005-03-01,0,0,4,0,0,0,10,0,0,27,53,34,5,0,0,0,0,49,59,5,0,2,0,34,26,0,0,0,0,0,0,0
2005-04-01,0,0,3,0,0,0,10,0,0,22,60,37,0,0,0,0,0,0,62,4,0,2,0,33,27,0,0,0,0,0,0,0
